Target,Generation,Editing_rate,Accuracy
200,6,0.05,15
200,7,0.05,40
200,8,0.05,58
200,9,0.05,67
200,10,0.05,75
200,11,0.05,80
200,12,0.05,81
200,13,0.05,82
200,14,0.05,86.2
200,15,0.05,86
500,6,0.05,38
500,7,0.05,45
500,8,0.05,62
500,9,0.05,73
500,10,0.05,79
500,11,0.05,81
500,12,0.05,83
500,13,0.05,84
500,14,0.05,86
500,15,0.05,87
800,6,0.05,50
800,7,0.05,60
800,8,0.05,67
800,9,0.05,74
800,10,0.05,78
800,11,0.05,81
800,12,0.05,83
800,13,0.05,85
800,14,0.05,87
800,15,0.05,89
200,6,0.1,35
200,7,0.1,45
200,8,0.1,59
200,9,0.1,70
200,10,0.1,78
200,11,0.1,85
200,12,0.1,89.5
200,13,0.1,82
200,14,0.1,67
200,15,0.1,45.5
500,6,0.1,43
500,7,0.1,51
500,8,0.1,62
500,9,0.1,78
500,10,0.1,83
500,11,0.1,87.5
500,12,0.1,88
500,13,0.1,83
500,14,0.1,69
500,15,0.1,52
800,6,0.1,52
800,7,0.1,60
800,8,0.1,73
800,9,0.1,81
800,10,0.1,85
800,11,0.1,88.5
800,12,0.1,89
800,13,0.1,85
800,14,0.1,72
800,15,0.1,61
200,6,0.2,44
200,7,0.2,55
200,8,0.2,71
200,9,0.2,77
200,10,0.2,85
200,11,0.2,83
200,12,0.2,77
200,13,0.2,65
200,14,0.2,50
200,15,0.2,29
500,6,0.2,50
500,7,0.2,60
500,8,0.2,73
500,9,0.2,79
500,10,0.2,86
500,11,0.2,83
500,12,0.2,79
500,13,0.2,69
500,14,0.2,54
500,15,0.2,35
800,6,0.2,59
800,7,0.2,67
800,8,0.2,76
800,9,0.2,80
800,10,0.2,87
800,11,0.2,83
800,12,0.2,77
800,13,0.2,70
800,14,0.2,60
800,15,0.2,41
200,6,0.5,59
200,7,0.5,65
200,8,0.5,77
200,9,0.5,87
200,10,0.5,82
200,11,0.5,77
200,12,0.5,63
200,13,0.5,47
200,14,0.5,35
200,15,0.5,17
500,6,0.5,65
500,7,0.5,72
500,8,0.5,82
500,9,0.5,89
500,10,0.5,87
500,11,0.5,80
500,12,0.5,69
500,13,0.5,56
500,14,0.5,40
500,15,0.5,25
800,6,0.5,70
800,7,0.5,75
800,8,0.5,85
800,9,0.5,88.5
800,10,0.5,89
800,11,0.5,81
800,12,0.5,72
800,13,0.5,60
800,14,0.5,48
800,15,0.5,34
