Target,Generation,Editing_rate,Accuracy
800,6,0.05,58
800,7,0.05,67
800,8,0.05,75
800,9,0.05,82
800,10,0.05,85
800,11,0.05,89
800,12,0.05,91
800,13,0.05,92
800,14,0.05,93
800,15,0.05,96
1000,6,0.05,57
1000,7,0.05,66.5
1000,8,0.05,74.2
1000,9,0.05,81.5
1000,10,0.05,84.5
1000,11,0.05,88.1
1000,12,0.05,90
1000,13,0.05,91
1000,14,0.05,92.5
1000,15,0.05,94.5
800,6,0.1,60
800,7,0.1,65
800,8,0.1,79
800,9,0.1,90
800,10,0.1,93
800,11,0.1,96.5
800,12,0.1,96
800,13,0.1,89
800,14,0.1,75
800,15,0.1,65
1000,6,0.1,59
1000,7,0.1,64.2
1000,8,0.1,79
1000,9,0.1,89
1000,10,0.1,92.3
1000,11,0.1,95.5
1000,12,0.1,96
1000,13,0.1,89
1000,14,0.1,74
1000,15,0.1,65
800,6,0.2,66
800,7,0.2,72
800,8,0.2,85
800,9,0.2,89
800,10,0.2,94.5
800,11,0.2,90
800,12,0.2,85
800,13,0.2,78
800,14,0.2,66
800,15,0.2,48
1000,6,0.2,65
1000,7,0.2,71
1000,8,0.2,85
1000,9,0.2,88.2
1000,10,0.2,94
1000,11,0.2,89.3
1000,12,0.2,84.1
1000,13,0.2,77
1000,14,0.2,65
1000,15,0.2,47.2
800,6,0.5,75
800,7,0.5,80
800,8,0.5,90
800,9,0.5,94.5
800,10,0.5,95
800,11,0.5,88
800,12,0.5,78
800,13,0.5,65
800,14,0.5,52
800,15,0.5,41
1000,6,0.5,75
1000,7,0.5,79.2
1000,8,0.5,89
1000,9,0.5,94
1000,10,0.5,95
1000,11,0.5,87
1000,12,0.5,77.5
1000,13,0.5,64
1000,14,0.5,51.3
1000,15,0.5,40
